network_generator,n,edge_budget,edge_percentage,num_graphs,efficiency_reference_gain,robustness_reference_gain,efficiency_initial,robustness_initial
random_network,10,2,2.5,20,0.09793386243386243,0.05387500000000005,0.46975132275132275,0.10000000000000005
random_network,10,3,5.0,20,0.12645238095238093,0.16412500000000002,0.46975132275132275,0.10000000000000005
random_network,10,5,10.0,5,0.174667,0.385000,0.46975132275132275,0.10000000000000005
barabasi_albert,10,2,2.5,20,0.039259259259259105,0.15275000000000008,0.6579629629629631,0.19812500000000008
barabasi_albert,10,3,5.0,20,0.053148148148147945,0.2705000000000001,0.6579629629629631,0.19812500000000008
barabasi_albert,10,5,10.0,5,0.079630,0.623000,0.6579629629629631,0.19812500000000008
barabasi_albert,20,2,1.0,100,0.02114649122807017,0.05242500000000003,0.5390350877192982,0.10000000000000005
barabasi_albert,20,5,2.5,100,0.04787894736842106,0.09302500000000002,0.5390350877192982,0.10000000000000005
barabasi_albert,20,10,5.0,100,0.08016842105263162,0.19049999999999997,0.5390350877192982,0.10000000000000005
random_network,20,2,1.0,100,0.02428984962406017,0.14696249999999997,0.5201754385964913,0.23500000000000001
random_network,20,5,2.5,100,0.05039949874686719,0.2779125,0.5201754385964913,0.23500000000000001
random_network,20,10,5.0,100,0.08514511278195493,0.46644999999999986,0.5201754385964913,0.23500000000000001
